year,name,party,oil,oil_text,oil_sentiment
2007,George W Bush,Republican,9,"['For too long, our Nation has been dependent on foreign oil.', 'And this dependence leaves us more vulnerable to hostile regimes and to terrorists who could cause huge disruptions of oil shipments and raise the price of oil and do great harm to our economy.', 'When we do that, we will have cut our total imports by the equivalent of three-quarters of all the oil we now import from the Middle East.', ""Achieving these ambitious goals will dramatically reduce our dependence on foreign oil, but it's not going to eliminate it."", 'And so as we continue to diversify our fuel supply, we must step up domestic oil production in environmentally sensitive ways.', 'And to further protect America against severe disruptions to our oil supply, I ask Congress to double the current capacity of the Strategic Petroleum Reserve.', 'America is on the verge of technological breakthroughs that will enable us to live our lives less dependent on oil.', ""Iraq's leaders have committed themselves to a series of benchmarks: to achieve reconciliation, to share oil revenues among all of Iraq's citizens, to put the wealth of Iraq into the rebuilding of Iraq, to allow more Iraqis to reenter their nation's civic life, to hold local elections, and to take responsibility for security in every Iraqi Province."", 'Tommy Rieman was a teenager pumping gas in Independence, Kentucky, when he enlisted in the United States Army.']",Positive
2008,George W Bush,Republican,3,"['Wages are up, but so are prices for food and gas.', 'Our security, our prosperity, and our environment all require reducing our dependence on oil.', 'Last year, I asked you to pass legislation to reduce oil consumption over the next decade, and you responded.', 'The national Government is sharing oil revenues with the Provinces.']",Negative
2009,Barack Obama,Democratic,2,"['We have known for decades that our survival depends on finding new sources of energy, yet we import more oil today than ever before.', ""The only way this century will be another American century is if we confront at last the price of our dependence on oil and the high cost of health care, the schools that aren't preparing our children and the mountain of debt they stand to inherit.""]",Negative
2010,Barack Obama,Democratic,2,"['[Laughter] As a result, millions of Americans had more to spend on gas and food and other necessities, all of which helped businesses keep more workers.', 'It means making tough decisions about opening new offshore areas for oil and gas development.', 'But at a time of record deficits, we will not continue tax cuts for oil companies, for investment fund managers, and for those making over $250,000 a year.']",Negative
2011,Barack Obama,Democratic,2,"['With more research and incentives, we can break our dependence on oil with biofuels and become the first country to have a million electric vehicles on the road by 2015.', ""And to help pay for it, I'm asking Congress to eliminate the billions in taxpayer dollars we currently give to oil companies."", 'Others want nuclear, clean coal, and natural gas.']",Negative
2012,Barack Obama,Democratic,10,"['Then Siemens opened a gas turbine factory in Charlotte and formed a partnership with Central Piedmont Community College.', ""Over the last 3 years, we've opened millions of new acres for oil and gas exploration, and tonight I'm directing my administration to open more than 75 percent of our potential offshore oil and gas resources."", ""Right now-right now-American oil production is the highest that it's been in 8 years."", 'Not only that, last year, we relied less on foreign oil than in any of the past 16 years.', ""But with only 2 percent of the world's oil reserves, oil isn't enough."", 'We have a supply of natural gas that can last America nearly 100 years.', ""And I'm requiring all companies that drill for gas on public lands to disclose the chemicals they use."", ""The development of natural gas will create jobs and power trucks and factories that are cleaner and cheaper, proving that we don't have to choose between our environment and our economy."", 'And by the way, it was public research dollars, over the course of 30 years, that helped develop the technologies to extract all this natural gas out of shale rock, reminding us that Government support is critical in helping businesses get new energy ideas off the ground.', ""Now, what's true for natural gas is just as true for clean energy."", ""Our experience with shale gas, our experience with natural gas, shows us that the payoffs on these public investments don't always come right away."", ""We've subsidized oil companies for a century."", 'We got rid of one rule from 40 years ago that could have forced some dairy farmers to spend $10,000 a year proving that they could contain a spill, because milk was somehow classified as an oil.', 'But I will not back down from making sure an oil company can contain the kind of oil spill we saw in the Gulf 2 years ago.']",Neutral
2013,Barack Obama,Democratic,5,"['We buy more American cars than we have in 5 years and less foreign oil than we have in 20.', 'We produce more oil at home than we have in 15 years.', 'We have doubled the distance our cars will go on a gallon of gas and the amount of renewable energy we generate from sources like wind and solar, with tens of thousands of good American jobs to show for it.', ""We produce more natural gas than ever before, and nearly everyone's energy bill is lower because of it."", 'Now, in the meantime, the natural gas boom has led to cleaner power and greater energy independence.', ""And that's why my administration will keep cutting redtape and speeding up new oil and gas permits."", 'But I also want to work with this Congress to encourage the research and technology that helps natural gas burn even cleaner and protects our air and our water.', 'So tonight I propose we use some of our oil and gas revenues to fund an energy security trust that will drive new research and technology to shift our cars and trucks off oil for good.', ""Let's take their advice and free our families and businesses from the painful spikes in gas prices we've put up with for far too long.""]",Neutral
2014,Barack Obama,Democratic,5,"['An autoworker fine-tuned some of the best, most fuel-efficient cars in the world and did his part to help America wean itself off foreign oil.', ""And here are the results of your efforts: the lowest unemployment rate in over 5 years; a rebounding housing market; a manufacturing sector that's adding jobs for the first time since the 1990s; more oil produced at home than we buy from the rest of the world, the first time that's happened in nearly 20 years; our deficits cut by more than half."", 'One of the reasons why is natural gas.', 'Businesses plan to invest almost $100 billion in new factories that use natural gas.', ""I'll cut redtape to help States get those factories built and put folks to work, and this Congress can help by putting people to work building fueling stations that shift more cars and trucks from foreign oil to American natural gas."", ""Well, it's not just oil and natural gas production that's booming, we're becoming a global leader in solar too."", ""In the coming months, I'll build on that success by setting new standards for our trucks so we can keep driving down oil imports and what we pay at the pump.""]",Positive
2015,Barack Obama,Democratic,4,"[""More of our kids are graduating than ever before; more of our people are insured than ever before; we are as free from the grip of foreign oil as we've been in almost 30 years."", 'We believed we could reduce our dependence on foreign oil and protect our planet.', 'And today, America is number one in oil and gas.', 'And thanks to lower gas prices and higher fuel standards, the typical family this year should save $750 at the pump.', ""So let's set our sights higher than a single oil pipeline.""]",Positive
2016,Barack Obama,Democratic,4,"[""But after years now of record corporate profits, working families won't get more opportunity or bigger paychecks just by letting big banks or big oil or hedge funds make their own rules at everybody else's expense."", ""And meanwhile, we've cut our imports of foreign oil by nearly 60 percent and cut carbon pollution more than any other country on Earth."", ""And that's why I'm going to push to change the way we manage our oil and coal resources so that they better reflect the costs they impose on taxpayers and our planet."", ""With nearly 10,000 airstrikes, we're taking out their leadership, their oil, their training camps, their weapons.""]",Neutral
2017,Donald J Trump,Republican,0,[],NA
2018,Donald J Trump,Republican,0,[],NA
2019,Donald J Trump,Republican,2,['We have unleashed a revolution in American energy -- the United States is now the number one producer of oil and natural gas in the world.'],Positive
2020,Donald J Trump,Republican,3,"['Thanks to our bold regulatory reduction campaign, the United States has become the number one producer of oil and natural gas in the world, by far.', 'Rocky was at a gas station when this vile criminal fired eight bullets at him from close range, murdering him in cold blood.']",Positive
2021,Joseph R Biden,Democratic,0,[],NA
2022,Joseph R Biden,Democratic,3,"['Tonight I can announce the United States has worked with 30 other countries to release 60 million barrels of oil from reserves around the world.', 'These steps will help blunt gas prices here at home.', 'And so many families are living paycheck to paycheck, struggling to keep up with the rising cost of food, gas, housing, and so much more.']",Neutral
2023,Joseph R Biden,Democratic,4,"['Here at home, gas prices are down $1.50 from their peak.', ""We're still going to need oil and gas for a while, but guess what—[applause]—no, we do—but there's so much more to do."", 'And when I talked to a couple of them, they say,  We were afraid you were going to shut down all the oil wells and all the oil refineries anyway, so why should we invest in them?', ""I said,  We're going to need oil for at least another decade, and that's going to exceed —[laughter]—and beyond that."", 'If they had, in fact, invested in the production to keep gas prices down—instead they used the record profits to buy back their own stock, rewarding their CEOs and shareholders.']",Negative
